"Cell01" "Cell02" "Cell03" "Cell04" "Cell05" "Cell06" "Cell07" "Cell08" "Cell09" "Cell10" "Cell11" "Cell12" "Cell13" "Cell14" "Cell15" "Cell16" "Cell17" "Cell18" "Cell19" "Cell20" "Cell21" "Cell22" "Cell23" "Cell24" "Cell25" "Normal"
"AADAT" 5.59997 8.15201 0 1.10017 13.1109 0 0 0 0 10.267 0 0.116928 0 0 0.116949 15.5115 67.5099 24.7478 0 0 0 0 21.4718 0 0 0
"AAED1" 0 14.1755 0 0.763597 9.8969 0 0 0 17.5469 0 0 0 0 0 0 11.9311 0 0 0 0 0 0 0 0 0 0
"AAGAB" 3.86019 0 0 1.3508 4.52906 0 0 0 0 7.96376 5.25436 0 0 0 0 0 0.314977 0.246568 4.08069 0 0 10.1538 4.39785 0 0 0
"AAK1" 0 2.60707 0 0.700916 0.0172276 0 0 0.425273 0 0 0 0 0.121715 0 0 1.79476 3.86081 0.639779 0 0.0242915 0 1.55546 0.225387 0 0 0
"AAMDC" 32.1071 25.1268 32.6019 26.2049 61.6885 59.5662 114.918 0 25.6879 68.9067 20.0347 1.4801 0 204.354 5.08606 19.2364 40.788 20.713 16.5471 0 0 20.7567 14.2717 0 0 0
"AAMP" 30.1646 55.1277 42.1358 66.886 31.405 0 0 20.0807 159.504 44.6881 64.6803 27.0854 11.6092 291.96 0.981934 54.296 0.114067 88.4007 6.10737 39.0351 4.33568 1.67327 51.1077 3.60233 0.376779 0
"AAR2" 20.4919 1.66312 27.2817 9.54687 0 0 0 0 39.9174 4.46751 0 23.2635 0 0.429149 6.16322 10.6263 0 38.07 0 0 0 16.9859 52.0894 0 0 0
"AARS" 23.7977 1.75856 37.0422 20.0624 1.73055 8.9604 0 5.85709 22.4535 28.9326 0 21.3856 28.6776 0 23.3427 0 0.0577659 6.10385 6.00047 39.7206 12.3726 19.1125 16.1792 0.260381 17.955 78.252
"AARS2" 0 1.05564 0.169909 1.95293 4.1172 0.302575 0 0 1.85094 0.0926839 0 6.38469 4.60944 0 2.0518 3.41526 0 1.80837 0 0.0557735 0 0 7.95059 0 0 0
"AARSD1" 6.28372 34.7663 19.8088 3.6949 3.73577 7.5116 0 30.2617 0 24.2218 2.375 20.3709 0 0 0 7.21365 0 19.8242 20.1868 0.655797 67.4134 3.82164 24.8421 0 0 0
"AASDH" 13.3912 0 0 0 0 0 0 0 0.159262 15.6748 0 0.636906 0 0 0 0 0 13.6962 9.92163 0 0 0 0 0 11.664 0
"AASDHPPT" 0.721209 11.8184 8.4927 3.22048 28.0772 0 0 0 24.3598 20.7771 0 15.4482 0 3.22468 0 5.74486 4.16371 0 27.7444 0 0 34.7588 16.9768 0 0 0.0980112
"AASS" 22.4433 5.48272 0.960719 2.12607 15.3546 0 0 14.7101 0 17.1423 9.78233 11.458 4.40307 0.949895 0.0394782 6.84331 2.88162 5.5922 2.25439 0.180305 2.15311 0.468814 7.20442 0 0 0
"AATF" 24.9374 17.631 2.41097 7.23248 0.934043 0 0 0.695567 3.92064 45.8525 74.8248 6.79345 0.65774 85.082 2.53397 2.54178 7.01988 30.9273 22.0402 0 0 26.0753 1.79782 0.844276 0 0
"AATK" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0251965 0 0 0 0 0 0 0 0 0 0
"ABAT" 9.47416 2.84541 37.0359 17.2013 38.0559 0 0.734221 7.00148 3.48262 36.2636 32.6016 36.5903 0 13.5359 0 46.2 39.1193 58.3381 21.4167 0 0 46.5879 14.7266 5.49756 0 0
"ABCA1" 3.38469 2.51474 0.264297 9.16841 2.67695 0 0 12.3541 1.51473 0.658834 0 0 0 0 0 0.645615 0 9.43623 7.23077 0.0248267 0 0.580396 5.13213 0 0 0
"ABCA11P" 0 5.09911 0 0.230193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 261.665
"ABCA13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0194477 0 0 0 0 0
"ABCA2" 0 0.391067 0.195743 0.14671 0 0 0 0 0 0 2.07536 0 3.82858 0.461846 0 0 0 0 0.0765881 0 0 0 0 0 0 10.2737
"ABCA5" 0.0480398 9.35383 2.14587 4.48386 0 0 0 0 1.22995 0 14.2485 3.13469 0.0401462 0 6.51265 0 0 0.889716 0 11.316 32.1982 0 0.0595393 0 1.19501 0
"ABCA6" 6.62086 21.0843 11.9145 11.2209 19.7206 0 0.0604457 78.7847 3.32778 52.3241 6.20867 1.44605 0 7.40046 0 31.0925 8.55164 7.33889 1.75206 14.0937 0 15.6966 9.47875 0 0 0
"ABCA7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.35966 0 0
"ABCA8" 6.52488 6.19265 1.05692 11.9355 5.7151 0 0 0 5.17058 2.53655 0 4.28558 0 0 0 0.106133 0 2.87111 0 0 0 0 7.59835 0 0 0.0470815
"ABCB1" 25.7286 72.8334 11.0333 34.7198 0.321334 11.3075 0 7.1538 50.7072 25.0149 12.796 3.95606 0.0708587 0 0.247829 13.0696 16.9685 21.756 4.4032 0.452699 0 0 48.647 0 0 0
"ABCB10" 0 20.6921 13.8422 5.10877 11.3081 33.6651 0 12.1533 0.36637 0 13.2985 0 0 0 0 20.6244 0 21.7605 2.21907 0 0 12.972 4.07235 22.1572 0 0
"ABCB11" 7.71111 0.302075 0.170169 2.63625 4.99577 0 0 0 0.487835 6.59064 0 4.53958 0 0 0 5.68287 0 2.12162 2.35063 0 0 0 0 0 0 0
"ABCB4" 97.5811 61.4091 23.8772 77.2255 248.995 0 45.8509 161.822 83.6642 37.6704 50.7516 73.1361 0.52923 1.75601 10.3818 64.1192 118.617 43.9061 17.2311 0 24.8276 4.17795 59.0319 32.8111 0.662488 0
"ABCB5" 0 0 0 1.30484 0 0 0 0 0 0.305213 0 0 0 0 6.21876 0 0 0.283566 0 0.0611996 0 16.5097 3.79415 0 0.287718 0
"ABCB6" 3.26852 22.4418 0.553 5.80472 41.8302 19.9072 0 0 10.3095 16.8997 22.1552 8.4032 0 1.04387 18.8149 0.0437453 0 37.9278 0 4.62073 0 12.5135 40.4953 0 0.213094 0
"ABCB7" 22.1162 7.05204 0 2.29669 2.9621 0 0 0 0.202661 31.439 0 5.17545 0 0 3.75146 18.2259 0 1.72 28.1405 0.115586 0 18.4158 8.19759 8.54037 0 0
"ABCB8" 13.7686 14.2546 4.94689 8.50339 8.26211 1.77248 5.38942 4.41144 5.36611 0.611004 9.12753 13.6001 26.1305 3.58241 10.9469 3.02278 10.7536 11.1833 1.55662 2.38915 0.158154 9.12671 23.9464 0 0 0
"ABCB9" 0 0 0 0.619735 0 0 0 0 0 0 0 0 0 0 0 9.16314 0 0 0 0 0 0.141186 0.756736 0 0 0
"ABCC10" 0.635283 4.07886 0 2.09493 0 0 0 0 0 0.527644 0 0 0.198809 0 0.0463245 0 0 0.980583 0 0 2.25507 0.229448 1.08253 0 0 177.242
"ABCC13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.125572 0 0 0 0 0
"ABCC2" 31.9374 15.6079 0.890265 6.74739 6.15512 21.6747 0 0.427529 0.170129 26.8695 24.1236 19.2399 0 0.0933584 24.5802 8.43144 0 4.33139 8.1618 3.31318 0.0628999 0.126709 0 0.7798 20.8393 0
"ABCC3" 22.2362 16.0708 17.9483 9.17409 0.701361 70.4072 0.992413 14.7249 12.4599 12.65 23.2696 22.4837 17.5302 0 34.4815 16.0737 0 2.62165 10.5766 24.3437 93.3497 11.0213 6.21898 2.63619 2.78197 0
"ABCC4" 9.17137 8.14246 27.1717 18.389 30.9257 0 0 0 0 6.09356 4.79359 1.50366 0 0.0856182 1.78533 9.84652 34.4615 18.8311 9.67364 0 0 13.4276 0.112251 0 0 0
"ABCC5" 0 0 0 8.40327 0 0 0 0 0 0 0 0 0 0 0 0.130996 0 0 0 0 0 0 0 0 0 0
"ABCC6" 17.2056 9.82074 10.3698 2.88873 19.9601 64.35 2.59198 0.364955 0 2.58507 0 10.6549 21.5376 0.0498066 10.4257 47.0456 4.35767 21.2881 30.917 0 2.21437 22.4659 14.1589 0.166405 60.5131 0
"ABCC6P1" 7.90868 0.273854 0 1.3892 0 0 0 0 0 0 0 0 0.886104 0 0 8.89025 0 13.1491 0 0 0 0.263667 1.13053 0 52.3376 0
"ABCC6P2" 0 4.79417 0 6.23564 8.5767 0 64.9233 0 0 22.1784 23.8693 1.77359 40.4776 0 0 2.20448 13.6762 28.9231 23.1503 0 0 27.8711 5.68257 0 0 0
"ABCC9" 4.52865 0.637815 7.2309 3.73268 0.803951 1.02457 1.17601 2.37262 6.88897 2.50699 0.056413 2.33595 9.26452 0 0.468589 0.348736 0 2.91201 1.04927 1.98305 5.44545 4.03495 4.44317 0 0.887366 0
"ABCD1" 0 0 0 1.12376 2.19907 0 0 15.6841 0 0.490706 10.597 0 0 0 0.452203 0.0355794 0 4.0344 4.62667 0 0 16.64 0 0 50.2787 6.76879
"ABCD3" 64.0332 66.5324 73.2183 38.9738 67.5359 34.0074 0 5.65224 34.3908 16.7947 15.0447 17.1314 0 52.8668 1.11362 22.3334 1.80758 73.0872 7.2453 37.8353 0 73.208 37.2402 76.9183 0 0.0762694
"ABCD4" 5.58025 1.63611 9.08892 6.05739 37.0521 19.1771 0 0 11.2171 18.7877 0 9.79189 2.03364 43.4349 1.81881 27.5056 0 19.0994 17.3511 6.76882 0 2.27342 22.6338 0 0 0
"ABCE1" 0 9.60249 4.77854 5.45878 0.181725 0 0 0.786934 0 9.35969 1.14896 0 0 0 0.112116 7.7189 0 7.65305 13.5728 0 0 0 21.0214 19.0667 0 0
"ABCF1" 0 39.5017 32.9338 18.4228 13.9332 6.45209 11.3336 45.1987 0 26.0436 0.728445 0.283633 9.84551 0 18.9654 20.7388 0.115295 15.8698 19.7059 28.4825 3.23222 3.73071 8.85393 0 4.19419 103.585
"ABCF2" 0 8.22253 3.55427 19.2843 0 0.822277 2.87698 0 3.47498 23.5436 0 0 37.2948 0 0 17.6229 22.8498 7.95132 9.79799 4.32241 0 0.5422 6.27089 0 23.6462 0
"ABCF3" 0 7.57681 8.05131 20.5349 2.59914 0 0 19.1443 13.7642 18.1166 5.61529 1.41297 0 24.8134 2.54579 11.0202 0 3.4986 0 0 0.138871 5.23794 32.0165 0 0 0
"ABCG2" 0 0 0 1.19558 0 0 0 0 0 0 0 0 0 0 0 0 0.0445399 0 0 0 0 0 0 0 0 0
"ABCG5" 10.4279 8.43596 5.98331 9.66295 15.4208 0 0 0 26.7569 23.78 13.9206 12.8423 22.5167 0 0 4.17439 1.43022 0 8.3042 36.3783 0 0 34.0764 0 0 0
"ABCG8" 0.311479 22.1527 78.4165 11.2224 2.7954 0 0 0 8.52622 6.21285 0 2.17537 0 33.9221 6.71454 35.1128 0 37.7014 10.9426 0 0 3.95989 28.4909 7.3092 0 0
"ABHD1" 0 0 0 1.88195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.2423 0 0 0 0
"ABHD10" 12.9242 29.0933 0 2.13552 4.68611 0 0 0 0.19807 7.00141 1.01715 0.989574 0 0 0 0 0 8.60235 0.898067 0 0 0 0 9.79432 0 0
"ABHD11" 36.8198 22.964 14.4909 7.61535 62.9298 3.77071 4.4659 105.435 0 42.1183 0 10.5914 78.4074 0 121.147 25.5732 45.367 12.5732 47.0948 0.231642 1.4945 10.1715 0 0 55.729 0
"ABHD12" 21.3758 5.39279 0.202801 31.674 28.4964 1.7988 9.10943 2.10634 10.0102 34.7682 18.4039 9.53024 0 0 27.6256 12.1867 31.1769 29.351 9.8052 85.5416 0 34.5066 15.0124 0 5.93143 0
"ABHD12B" 0 0.270803 0 0.305981 0 0 0.2402 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABHD13" 0 4.60465 1.06799 4.19337 2.8444 0 0 30.6854 8.22219 0 2.24687 0.0437681 0 0.0479983 0 1.98024 0 1.80936 0.596591 0 0 1.6069 8.75364 0 0 0
"ABHD14A" 0 1.90543 0 6.90265 9.57399 0.253003 0 45.1908 8.92442 0 19.8251 4.68386 0 0 0 2.44983 0 14.9508 20.7339 6.15504 0 6.91596e-140 4.02922 9.95271 0 84.0632
"ABHD14A-ACY1" 2.47462e-68 6.20506e-68 3.23731e-59 5.10394e-46 8.86355e-44 1.01187e-38 2.62219e-35 5.02306 2.48574e-50 4.63456e-52 2.31029e-23 8.92061e-81 1.14823e-19 6.84874e-23 4.23303e-15 2.06799e-05 1.66554e-95 15.9067 2.08224e-20 7.99045e-15 0 0.542651 6.76218e-55 2.75674e-90 3.85336e-52 3.06576e-07
"ABHD14B" 1.91695 36.3964 67.2036 58.8685 32.5484 36.9347 0 34.4359 69.6566 97.261 90.4657 38.4018 0 0 13.7537 24.7463 15.3084 21.5829 30.9051 0 0 41.7492 74.124 60.4187 61.2265 0
"ABHD15" 0 29.4627 8.76524 14.6857 0 0 0 0 0 40.0137 0.145465 11.2573 0 0 0 19.5729 3.62656 14.7182 6.04387 0 0 6.88738 3.26473 0 0 0
"ABHD16A" 40.1238 48.0822 9.43734 53.3848 44.6786 24.4779 12.6855 12.2224 38.8447 28.804 21.2295 53.7997 0 360.725 21.9969 13.3196 66.1532 23.5296 37.4311 62.4122 0 29.4794 41.6019 104.972 114.029 0
"ABHD17A" 0 0 0 0 0 0 0 0 0.329089 0 0 0 0.467413 0 0.163862 0 0 0 0 0 0 0 0.349477 0 0 0
"ABHD17B" 0.272189 0.832992 18.9771 11.1291 13.2393 0 0 0 8.92587 0 0 0.0769257 23.0007 0 0 0 0 3.10081 0 0.180261 0 0 0 0 0 0
"ABHD17C" 0 0 0 0.18046 0 0 0 0 0 0 0 0 0.295663 0 0 1.08475 0 0 0 2.36233 0 0 1.83538 0 0 0
"ABHD2" 3.72671 7.60892 6.51781 14.1186 10.7985 0 0 20.6217 18.548 5.16995 1.7182 0.784734 0.225154 0 0.44603 8.2984 0 4.65639 3.61457 0 0 3.84052 3.17181 3.64146 3.94166 5.39116
"ABHD3" 24.1158 9.08728 9.41586 11.7172 25.6764 0.123703 0 13.5232 50.4424 4.34145 34.0318 11.8707 0 0 3.4779 7.08063 0 27.6268 6.09082 0 73.098 22.7489 17.7015 0 0 0
"ABHD4" 0 22.6026 8.778 12.1519 35.9665 1.09923 0 0 0.387433 14.19 0 21.1929 127.262 51.9405 1.16228 25.7934 0 1.12966 28.0169 19.7825 0 19.0264 43.2607 0 0 0
"ABHD5" 0 7.77722 6.72211 6.03898 5.13966 0 0 0 0.0866028 4.11977 0 5.85018 0 0 0 2.67793 5.5323 7.48726 20.9892 0 1.79294 3.95595 0.368805 0 0 0
"ABHD6" 30.9944 3.94026 31.1083 58.2971 20.8353 0 0 0 0 46.7718 0 5.90997 0 189.255 0.50985 28.5094 0.16567 18.4931 18.5859 4.07206 0 5.26184 10.7016 0 0 0
"ABHD8" 0 4.57253 0 0.619037 0 0 0 0 1.89505 0 0 0 0 0 3.31188 0 0.0961263 0 0.107271 1.21437 0 0.117461 0 0 14.9284 0
"ABI1" 10.0348 28.0628 9.08261 16.5848 43.9652 0 0 1.35355 63.6986 10.055 0 3.64777 0 3.30239 2.99508 2.61468 7.05087 1.24343 7.33183 48.7974 0 7.68916 0.954681 1.64393 48.8375 0
"ABI2" 4.66702 15.907 2.1714 4.07085 5.46009 0 0 0 0.301753 0 0 0 0 1.40763 1.36285 0.0208289 0.0306981 2.24089 0 0 10.826 1.91051 0.267755 0 0 0
"ABI3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65.7764
"ABL1" 2.43873 5.72696 1.2003 5.17342 14.266 0 0 1.21048 0 2.7825 0 0 5.18246 0.047197 1.68287 0.325298 0 13.094 0.234679 0 0 8.84076 3.20525 0 0 0
"ABL2" 0.572918 2.18768 5.16629 2.46159 0 2.05466 0 0 1.99996 0 0 0.0196084 0.0281402 0 0 0 0 0 0 0 0.0290056 7.42161 0.0556697 0 0.0527698 0
"ABLIM1" 3.40635 5.41159 0 1.28857 0 2.82041 2.78473 0 0 6.96809 0.552355 0.538097 0 0 0.296469 0 0 5.59565 0 4.89083 0 8.80879 0 0 0 0
"ABLIM3" 0 0 0 0 0 1.50854 0 0 0 0 0 0 0 0 0 0.23841 0 0 0 0 0 8.04002 0 0 0 0
"ABR" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.30697
"ABRACL" 144.449 0 60.2419 107.873 8.978 54.6883 0 25.3831 0 22.6626 0 0.347451 0.490356 554.535 16.2208 21.1072 19.1858 24.8411 112.539 64.0046 20.2564 93.823 84.279 44.6714 0 809.727
"ABT1" 18.8038 9.21528 29.1056 5.48033 6.50352 65.5196 0 47.7589 15.6185 6.80982 0.890941 6.28286 4.02356 0 9.10414 10.1029 18.5804 4.48449 0 8.65564 0 29.693 24.0619 0 0 32.4083
"ABTB1" 1.32428 4.56702 0.22399 0.223987 1.45763 0 0 0.258539 15.1786 0 0 14.7648 4.03095 0 12.838 32.2148 0 0 0 0 0 0 0 0 0 0
"ABTB2" 0 2.79158 0 0.248166 0.617124 0 0 0.0953992 0 0.0902946 0 3.22887 0 0 0 0 0.463325 0.704708 0.560887 0 0 0 0.067355 0 0 0
"ACAA1" 43.2118 34.3725 123.647 96.1072 122.485 30.2491 0.948777 28.6606 43.4526 161.773 107.548 126.433 8.30577 171.078 33.9552 95.8523 74.5226 81.401 84.3827 71.3118 29.6721 4.81046 135.856 19.7469 0 0
"ACAA2" 91.3096 360.066 352.775 151.42 169.151 3.72236 1.94879 133.743 86.2757 187.483 164.142 122.593 0.183965 405.03 33.6422 322.215 110.965 236.424 285.369 42.1952 0.189745 65.1841 164.062 98.7866 0 0.150788
"ACACA" 1.1058 9.784 7.65009 8.47577 17.0261 0.755928 0 0.0478424 7.91127 0 0 0.0238314 0 0 0.406881 8.87328 3.33764 1.61805 7.57115 4.53759 0 0.0946513 5.39751 0 1.90253 0
"ACACB" 0 0.267215 0.0429884 1.80428 3.96983 0 0 0 0 4.07896 0 0.0740151 1.62829 0 1.80658 0 0 1.07178 1.07663 0 0 0 1.92439 0 0 0
"ACAD10" 0 2.89896 9.29002 10.3063 3.3289 0 0 16.3595 0 13.367 0 6.96849 0 0 0.0586541 0.387738 0 0.124159 4.04278 0 12.1057 0 0.249207 0 0 0
"ACAD11" 13.6036 8.95781 49.7839 10.324 25.6164 0.0688149 32.285 13.6511 0.133106 24.0607 2.32448 7.85371 0.0952851 60.4584 2.53372 26.1419 76.4646 19.1286 0.30224 0 0 9.90945 8.49854 0 59.5907 0
"ACAD8" 3.07141 29.1941 0 30.7871 34.974 0 0 117.381 0.223677 15.1075 9.41613 32.9474 0 0 0 40.6181 0.817106 3.08264 17.0231 0 61.0376 23.6273 15.7733 0 0 0
"ACAD9" 0 19.3546 0 1.47661 2.59584 0 0 0 0 0.537409 0 1.12893 5.78341 19.4125 0.847513 0.155742 32.6581 15.0748 10.6736 0 0 1.12098 0.400525 0 79.383 0
"ACADL" 8.04828 38.336 0.85106 9.0196 0 10.2772 0 35.5421 7.61788 0 0 0 0.139471 0 0 7.37692 21.9727 21.228 0.265665 38.1094 0 0 0 10.3726 88.882 0
"ACADM" 14.4549 106.905 83.3426 58.4438 60.455 0 0.252721 92.0882 2.76925 13.25 32.6149 34.3176 0.136816 166.89 0 49.7654 9.45439 26.6914 36.2653 0 0 91.5434 37.7741 58.953 11.1575 0.121314
"ACADS" 26.1878 59.5991 104.976 14.3155 47.7209 0 0.178909 50.358 14.6094 36.4802 0 4.81695 0 12.8679 0 60.6419 11.7461 65.8119 11.0978 27.1703 133.556 10.0881 62.3768 0 114.318 0
"ACADSB" 16.4935 13.8405 27.0463 4.53894 15.041 0 0 27.5765 18.6523 59.598 15.5724 26.3703 0 0 0.974929 38.928 22.9615 12.6556 11.1346 0 0.0574837 17.829 5.1305 0 0 0
"ACADVL" 42.4655 26.4431 49.6525 20.0117 2.50455 12.7492 1.66813 0 126.797 11.1347 27.2156 17.6478 0.472439 0.121011 8.38583 27.0884 12.0146 48.7102 2.30081 0 0 14.679 40.1192 0.404092 0 0
"ACAP1" 0 0 0 0 0.314254 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8915
"ACAP2" 0 0 10.997 2.84513 0 0 0 0 0 0 0 0.0320335 0 0 0 0 0 0.135787 0.34941 0 0 0 6.65587 0 0 0
"ACAP3" 0 0 0 0 0.305772 0 0 0 0 0.238787 0.515677 0 4.13379 0 3.33254 0 0 0 0 0 12.9713 0 0 0 1.34999 0
"ACAT1" 63.1656 354.613 320.21 380.077 273.727 49.4848 89.148 267.371 235.863 216.445 190.593 218.294 0.330055 9.26232 12.2532 276.081 196.423 338.124 316.806 0.131871 19.5729 101.466 144.511 93.2072 1.86244 0
"ACAT2" 65.2052 94.4513 101.748 4.62627 144.604 0 0 100.494 0 77.6999 221.83 43.6989 0 176.254 7.77033 36.5454 487.648 58.4075 127.486 0 0 118.785 31.1466 0 0 0
"ACBD3" 0 0 12.1522 2.77655 14.7682 0 0 2.13513 0 11.9981 24.1371 0.796544 4.46652 0 3.85692 0.0732545 0.269851 7.46198 29.9024 1.21447 0 9.02639 15.9156 0 0 0
"ACBD4" 12.7012 0 14.2776 17.9308 18.0509 0 0.235978 0 0.268617 43.6017 32.2776 11.3984 0 0 0.536206 46.8239 0.108955 0.712066 19.6334 0 25.0617 0 19.687 0 0 0
"ACBD5" 29.458 33.5636 32.8749 23.7144 14.6986 0 0 32.824 20.8825 18.6872 0 9.24035 0 114.492 5.70685 10.7563 0 45.3027 32.9976 2.02647 44.7565 34.4634 31.4265 15.539 8.16815 0
"ACBD6" 6.24707 59.5851 9.65059 19.5815 56.8282 0 0 50.6308 34.2054 64.4697 0.325031 22.8975 0 0 39.7553 46.6304 39.7858 9.90064 34.3468 0.719527 0 84.4333 6.95149 0 194.532 0
"ACBD7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0805635 0 0 0 0 0 0
"ACCS" 0 3.71079 0 0 7.3503 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACD" 0 3.16834 0 0 3.90459 0 0 0 0 0 0 0 79.2169 0 0 1.19549 0 0 0.108913 0 0 0 0 0 0 0
"ACE" 0 0 0 0 0 0 0 0.152712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACE2" 25.5229 0 0 44.0285 0 0 0 0 0 35.8562 0.138765 0 0 40.4593 0 0 5.60156 0 0 0.0772328 0 0 0 4.70306 0 0
"ACER3" 3.4806 4.86866 7.62441 3.90329 0.25993 0 0 0 0.106629 12.5794 0.109549 20.3221 6.11318 0 0.481109 0 0 0 0 0 0 15.933 0 13.0951 0 0
"ACHE" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.12918 0 0 0
"ACIN1" 2.72324 1.532 5.52903 0.518199 2.73262 14.2156 0 0 13.2851 16.5996 7.33021 0.0990101 20.3853 14.35 23.9888 0 0 14.5061 0.0439247 51.8022 0.145933 7.96682 2.95192 10.5291 0 201.788
"ACKR2" 12.237 14.6497 6.49344 9.73728 19.0546 0 0 0 2.59123 0 0 27.035 0 56.8456 0 9.42446 16.5177 12.3652 1.32281 0.0925019 0 0.0803584 15.9648 0 0 0
"ACKR3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.124891 0 0 0 0 0 0 0 0
"ACLY" 16.8362 18.6037 6.9874 5.56833 12.3181 0 0 10.4497 1.73246 1.85431 15.2415 10.4001 2.87103 1.7229 0.814207 3.19798 11.5835 9.01647 13.2868 7.37463 29.9203 5.37556 0.230469 0 31.4659 0.0630398
"ACMSD" 32.2819 34.5936 79.3234 37.6368 24.4992 0 0 0 54.3727 17.5093 52.2545 33.8823 0 0 0 59.6421 0 64.8426 103.186 0.484362 0 31.7914 9.99128 0 0 0
"ACN9" 0 15.637 18.0628 24.3632 15.6201 0 0 50.4193 40.9891 9.40388 95.7981 9.388 10.9976 0 1.80568 8.50227 23.7742 23.3864 23.6908 0.137319 0 33.1166 10.5073 0.882559 0 0
"ACO1" 30.5955 73.6916 94.9205 71.6274 110.836 6.20813 0 33.9336 70.3159 102.693 94.5725 67.7167 19.1027 49.917 5.14633 127.19 135.665 88.089 55.3819 26.0145 0 86.8159 78.8942 6.84573 0.358671 0
"ACO2" 70.2476 45.8355 59.0427 67.7673 83.211 97.9148 0 43.5152 27.6261 87.0474 55.8412 36.1378 0.251485 25.0888 89.4361 55.7498 0.142966 6.43714 47.7304 58.8655 2.07459 7.68238 48.1622 6.76792 0 0
"ACOT1" 2.19312 3.20407 3.06127 8.62935 11.8842 0 0 0 9.59013 5.47326 9.51368 4.30325 0 10.6824 2.06982 4.66237 5.44034 5.92797 5.77741 0 0 2.69279 3.16857 0 20.9592 0
"ACOT12" 4.72535 0 0 1.52632 0 0 32.9736 71.2215 5.25685 0 0 0 0 0 0 12.6185 137.713 7.29698 55.5256 0 0 0 0.0886809 9.62 0 0
"ACOT13" 5.99293 17.7893 10.1726 10.6118 8.45581 0 2.99698 0 8.46395 7.83489 5.17023 12.929 3.52348 8.40868 2.17844 23.8324 48.9811 13.2974 41.7833 0 0 17.26 9.69827 3.98303 17.692 0
"ACOT2" 3.61556 6.00085 2.54104 7.90759 14.2239 0 0 0.652152 18.9178 8.52179 11.3161 8.01066 0 14.3708 2.4227 3.92675 11.0476 6.52039 8.20511 0 0 5.46566 4.47369 0 19.9601 0
